antecedents,consequents,support,confidence,lift
"humidity=med, o3=high, pm2_5=high","pm10=high, so2=high",0.25,1.0,4.0
"pm10=high, so2=high","humidity=med, o3=high, pm2_5=high",0.25,1.0,4.0
"o3=high, pm10=high","humidity=med, pm2_5=high, so2=high",0.25,1.0,4.0
"pm2_5=high, so2=high","humidity=med, o3=high, pm10=high",0.25,1.0,4.0
"o3=high, pm2_5=high","humidity=med, pm10=high, so2=high",0.25,1.0,4.0
"pm10=high, so2=high, wind_speed=med","o3=high, pm2_5=high",0.25,1.0,4.0
"o3=high, pm10=high, wind_speed=med","pm2_5=high, so2=high",0.25,1.0,4.0
"pm2_5=high, so2=high, wind_speed=med","o3=high, pm10=high",0.25,1.0,4.0
"o3=high, pm2_5=high, wind_speed=med","pm10=high, so2=high",0.25,1.0,4.0
"pm10=high, so2=high","o3=high, pm2_5=high, wind_speed=med",0.25,1.0,4.0
"o3=high, pm10=high","pm2_5=high, so2=high, wind_speed=med",0.25,1.0,4.0
"pm2_5=high, so2=high","o3=high, pm10=high, wind_speed=med",0.25,1.0,4.0
"o3=high, pm2_5=high","pm10=high, so2=high, wind_speed=med",0.25,1.0,4.0
"pm10=high, precip=med, so2=high","o3=high, pm2_5=high",0.25,1.0,4.0
"o3=high, pm10=high, precip=med","pm2_5=high, so2=high",0.25,1.0,4.0
"pm2_5=high, precip=med, so2=high","o3=high, pm10=high",0.25,1.0,4.0
"o3=high, pm2_5=high, precip=med","pm10=high, so2=high",0.25,1.0,4.0
"pm10=high, so2=high","o3=high, pm2_5=high, precip=med",0.25,1.0,4.0
"o3=high, pm10=high","pm2_5=high, precip=med, so2=high",0.25,1.0,4.0
"pm2_5=high, so2=high","o3=high, pm10=high, precip=med",0.25,1.0,4.0
"o3=high, pm2_5=high","pm10=high, precip=med, so2=high",0.25,1.0,4.0
"humidity=med, pm2_5=med, temp=med, wind_speed=med",pm10=med,0.25,1.0,4.0
"humidity=med, pm10=med, temp=med, wind_speed=med",pm2_5=med,0.25,1.0,4.0
"humidity=med, pm2_5=med, temp=med","pm10=med, wind_speed=med",0.25,1.0,4.0
"humidity=med, pm10=med, temp=med","pm2_5=med, wind_speed=med",0.25,1.0,4.0
"humidity=med, pm2_5=med, wind_speed=med","pm10=med, temp=med",0.25,1.0,4.0
"humidity=med, pm10=med, wind_speed=med","pm2_5=med, temp=med",0.25,1.0,4.0
"pm2_5=med, temp=med, wind_speed=med","humidity=med, pm10=med",0.25,1.0,4.0
"pm10=med, temp=med, wind_speed=med","humidity=med, pm2_5=med",0.25,1.0,4.0
"humidity=med, pm2_5=med","pm10=med, temp=med, wind_speed=med",0.25,1.0,4.0
"humidity=med, pm10=med","pm2_5=med, temp=med, wind_speed=med",0.25,1.0,4.0
"pm2_5=med, temp=med","humidity=med, pm10=med, wind_speed=med",0.25,1.0,4.0
