datetime,pm2_5,pm10,o3,no2,so2,co,latitude,longitude,temp,humidity,wind_speed,precip,aqi,population,pop_density_per_km2,pct_elderly,pct_children,respiratory_illness_rate_per_100k,dow,month
2024-11-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,11
2024-11-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,11
2024-11-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,11
2024-11-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,11
2024-11-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,11
2024-12-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,12
2024-12-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,12
2024-12-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,12
2024-12-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,12
2024-12-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,12
2024-12-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,12
2024-12-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,12
2024-12-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,12
2024-12-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,12
2024-12-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,12
2024-12-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,12
2024-12-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,12
2024-12-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,12
2024-12-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,12
2024-12-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,12
2024-12-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,12
2024-12-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,12
2024-12-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,12
2024-12-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,12
2024-12-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,12
2024-12-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,12
